               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 155,            0.019525,           0.0051203,                   0,             0.93395,             0.79179,             0.89733,             0.54184,            0.029287,           0.0043691,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.018302,           0.0047123,                   0,              0.9279,               0.824,             0.90498,             0.54395,            0.029289,           0.0041857,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.019282,           0.0047011,                   0,              0.9549,               0.848,             0.90511,             0.54459,            0.029383,           0.0042119,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.019608,           0.0049366,                   0,             0.93735,                0.84,             0.90792,             0.55634,             0.02926,           0.0043441,                   0,            0.004819,            0.004819,            0.004819
                 159,             0.01919,           0.0050754,                   0,             0.90756,               0.864,             0.90385,             0.55659,            0.029139,           0.0044499,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.018458,           0.0048694,                   0,             0.91378,             0.84785,             0.89223,             0.55659,            0.029008,           0.0043785,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.017972,            0.004771,                   0,             0.92173,             0.84793,             0.90668,             0.56543,            0.028826,           0.0042476,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.018783,           0.0049618,                   0,             0.89255,               0.864,             0.89129,             0.55517,            0.029032,           0.0042648,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.019082,           0.0051025,                   0,             0.89909,               0.856,             0.88695,              0.5628,            0.028931,           0.0042558,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.019143,            0.004702,                   0,             0.98005,               0.792,             0.90003,             0.55928,            0.028939,           0.0042213,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.018504,           0.0050691,                   0,             0.98058,             0.80771,             0.89707,             0.55155,            0.028955,           0.0043059,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.018945,            0.004754,                   0,             0.98063,               0.816,              0.8996,             0.55121,             0.02877,           0.0044702,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.018616,           0.0048424,                   0,              0.8842,               0.856,             0.88103,             0.54733,            0.029237,           0.0046676,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.018137,           0.0048638,                   0,             0.94265,               0.792,             0.89064,             0.54402,            0.028941,           0.0046175,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.017985,           0.0046549,                   0,             0.95094,             0.77528,             0.89346,             0.55656,            0.028477,           0.0045591,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.018383,           0.0049252,                   0,             0.97018,               0.784,             0.88859,             0.55624,            0.028576,           0.0045979,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.017147,           0.0045765,                   0,             0.97087,             0.79976,             0.89207,             0.55509,            0.029357,            0.004579,                   0,             0.00439,             0.00439,             0.00439
